type,queueSize,generated,collected,elapsedInMicros,retryOnFull
LockFreeBased,256,10000,9887,232,0
LockFreeBased,512,10000,10000,178,1
LockFreeBased,512,10000,4553,135,0
LockFreeBased,1024,10000,10000,289,1
LockFreeBased,1024,10000,10000,191,0
LockFreeBased,2048,10000,10000,205,1
LockFreeBased,2048,10000,9752,156,0
LockFreeBased,4096,10000,10000,207,1
LockFreeBased,4096,10000,10000,134,0
LockFreeBased,8192,10000,10000,187,1
LockFreeBased,8192,10000,10000,139,0
LockFreeBased,256,15000,15000,240,1
LockFreeBased,256,15000,15000,327,0
LockFreeBased,512,15000,15000,405,1
LockFreeBased,512,15000,15000,264,0
LockFreeBased,1024,15000,15000,287,1
LockFreeBased,1024,15000,12006,245,0
LockFreeBased,2048,15000,15000,186,1
LockFreeBased,2048,15000,15000,256,0
LockFreeBased,4096,15000,15000,294,1
LockFreeBased,4096,15000,15000,193,0
LockFreeBased,8192,15000,15000,262,1
LockFreeBased,8192,15000,13569,122,0
LockFreeBased,256,20000,20000,387,1
LockFreeBased,256,20000,18039,505,0
LockFreeBased,512,20000,20000,559,1
LockFreeBased,512,20000,19962,335,0
LockFreeBased,1024,20000,20000,407,1
LockFreeBased,1024,20000,19090,589,0
LockFreeBased,2048,20000,20000,282,1
LockFreeBased,2048,20000,19983,794,0
LockFreeBased,4096,20000,20000,371,1
LockFreeBased,4096,20000,20000,410,0
LockFreeBased,8192,20000,20000,238,1
LockFreeBased,8192,20000,20000,336,0
LockFreeBased,256,25000,25000,398,1
LockFreeBased,256,25000,22942,356,0
LockFreeBased,512,25000,25000,379,1
LockFreeBased,512,25000,22538,661,0
LockFreeBased,1024,25000,25000,339,1
LockFreeBased,1024,25000,14287,235,0
LockFreeBased,2048,25000,25000,353,1
LockFreeBased,2048,25000,2835,146,0
LockFreeBased,4096,25000,25000,568,1
LockFreeBased,4096,25000,25000,266,0
LockFreeBased,8192,25000,25000,478,1
LockFreeBased,8192,25000,25000,399,0
LockFreeBased,256,30000,30000,336,1
LockFreeBased,256,30000,25945,324,0
LockFreeBased,512,30000,30000,292,1
LockFreeBased,512,30000,19258,415,0
LockFreeBased,1024,30000,30000,397,1
LockFreeBased,1024,30000,1023,132,0
LockFreeBased,2048,30000,30000,415,1
LockFreeBased,2048,30000,29619,367,0
LockFreeBased,4096,30000,30000,345,1
LockFreeBased,4096,30000,30000,506,0
LockFreeBased,8192,30000,30000,296,1
LockFreeBased,8192,30000,30000,702,0
LockFreeBased,256,35000,35000,405,1
LockFreeBased,256,35000,34894,443,0
LockFreeBased,512,35000,35000,451,1
LockFreeBased,512,35000,4848,235,0
LockFreeBased,1024,35000,35000,533,1
LockFreeBased,1024,35000,16396,488,0
LockFreeBased,2048,35000,35000,377,1
LockFreeBased,2048,35000,35000,443,0
LockFreeBased,4096,35000,35000,477,1
LockFreeBased,4096,35000,34834,527,0
LockFreeBased,8192,35000,35000,405,1
LockFreeBased,8192,35000,8191,157,0
LockFreeBased,256,40000,40000,723,1
LockFreeBased,256,40000,31155,337,0
LockFreeBased,512,40000,40000,669,1
LockFreeBased,512,40000,40000,550,0
LockFreeBased,1024,40000,40000,376,1
LockFreeBased,1024,40000,4450,158,0
LockFreeBased,2048,40000,40000,552,1
